200,English,Русский,French,Danish,Indonesian,Korean,Swedish,Tuskish,Ukranian,Vietnamese,Hungarian,German,Finnish,Czech,Italian,Norwegian,Chinese Trad,Chinese Simplified,Thai,Japanese,Romanian ,Arabic,Slovak,Spanish,Polish,Dutch,Portugese,hebrew
Colombia_East,Colombia — East,Колумбия — Восток,Colombie — Est,Colombia — Øst,Kolombia — Timur,콜롬비아 — 동,Colombia — Öst,Kolombiya — Doğu,Колумбія — Схід,Colombia — Đông,Kolumbia — Kelet,Kolumbien — Osten,Kolumbia — Itä,Kolumbie — Východ,Colombia — Est,Colombia — Øst,哥倫比亞 - 東部,哥伦比亚 - 东部,ประเทศโคลอมเบีย — ตะวันออก,コロンビア・東武,Columbia — Est,كولومبيا — شرق,Kolumbia — Východ,Colombia — Este,Kolumbia — Wschód,Colombia — Oost,Colômbia — Leste,קולומביה — מִזְרָח
Colombia_North,Colombia — North,Колумбия — Север,Colombie — Nord,Colombia — Nord,Kolombia — Utara,콜롬비아 — 북,Colombia — Nord,Kolombiya — Kuzey,Колумбія — Північ,Colombia — Bắc,Kolumbia — Észak,Kolumbien — Norden,Kolumbia — Pohjoinen,Kolumbie — Sever,Colombia — Nord,Colombia — Nord,哥倫比亞 - 北部,哥伦比亚 - 北部,ประเทศโคลอมเบีย — เหนือ,コロンビア・北部,Columbia — Nord,كولومبيا — شمال,Kolumbia — Sever,Colombia — Norte,Kolumbia — Północ,Colombia — Noord,Colômbia — Norte,קולומביה — צָפוֹן
Colombia_West,Colombia — West,Колумбия — Запад,Colombie — Ouest,Colombia — Vest,Kolombia — Barat,콜롬비아 — 서,Colombia — Väst,Kolombiya — Batı,Колумбія — Захід,Colombia — Tây,Kolumbia — Nyugat,Kolumbien — Westen,Kolumbia — Länsi,Kolumbie — Západ,Colombia — Ovest,Colombia — Vest,哥倫比亞 - 西部,哥伦比亚 - 西部,ประเทศโคลอมเบีย — ตะวันตก,コロンビア・西部,Columbia — Vest,كولومبيا — غرب,Kolumbia — Západ,Colombia — Oeste,Kolumbia — Zachód,Colombia — West,Colômbia — Oeste,קולומביה — מַעֲרָב
Colorado,Colorado,Колорадо,Colorado,Colorado,Colorado,콜로라도 주,Colorado,Colorado,Колорадо,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado,科羅拉多州,科罗拉多州,รัฐโคโลราโด,コロラド州,Colorado,كولورادو,Colorado,Colorado,Kolorado,Colorado,Colorado,קולורדו
Comoros,Comoros,Коморы,Comores,Comorerne,Komoro,코모로,Komorerna,Komorlar,Коморські Острови,Comoros,Comore-szigetek,Komoren,Komorit,Komory,Comore,Komorene,葛摩,葛摩,ประเทศคอโมโรส,コモロ,Comore,جزر القمر,Komory,Comoras,Komory,Comoren,Comores,קומורו
Congo-Brazzaville,Republic of the Congo,Республика Конго,République du Congo,Republikken Congo,Republik Kongo,콩고 공화국,Kongo-Brazzaville,Kongo Cumhuriyeti,Республіка Конго,Cộng hòa Congo,Kongói Köztársaság,Republik Kongo,Kongon tasavalta,Republika Kongo,Repubblica del Congo,Republikken Kongo,剛果共和國,刚果共和国,สาธารณรัฐคองโก,コンゴ共和国,Republica Congo,جمهورية الكونغو,Kongo,República del Congo,Kongo,Congo-Brazzaville,Congo,הרפובליקה של קונגו
Congo-Kinshasa,Democratic Republic of the Congo,Демократическая Республика Конго,République démocratique du Congo,Demokratiske Republik Congo,Republik Demokratik Kongo,콩고 민주 공화국,Kongo-Kinshasa,Demokratik Kongo Cumhuriyeti,Демократична Республіка Конго,Cộng hòa Dân chủ Congo,Kongói Demokratikus Köztársaság,Demokratische Republik Kongo,Kongon demokraattinen tasavalta,Demokratická republika Kongo,Repubblica Democratica del Congo,Den demokratiske republikken Kongo,剛果民主共和國,刚果民主共和国,สาธารณรัฐประชาธิปไตยคองโก,コンゴ民主共和国,Republica Democrată Congo,جمهورية الكونغو الديمقراطية,Kongo,República Democrática del Congo,Demokratyczna Republika Konga,Congo-Kinshasa,República Democrática do Congo,הרפובליקה הדמוקרטית של קונגו
Cook Islands,Cook Islands,Острова Кука,Îles Cook,Cookøerne,Kepulauan Cook,쿡 제도,Cooköarna,Cook Adaları,Острови Кука,Quần đảo Cook,Cook-szigetek,Cookinseln,Cookinsaaret,Cookovy ostrovy,Isole Cook,Cookøyene,庫克群島,库克群岛,หมู่เกาะคุก,クック諸島,Insulele Cook,جزر كوك,Cookove ostrovy,Islas Cook,Wyspy Cooka,Cookeilanden,Ilhas Cook,איי קוק
Costa Rica,Costa Rica,Коста-Рика,Costa Rica,Costa Rica,Kosta Rika,코스타리카,Costa Rica,Kosta Rika,Коста-Ріка,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Kostarika,Costa Rica,Costa Rica,哥斯達黎加,哥斯达黎加,ประเทศคอสตาริกา,コスタリカ,Costa Rica,كوستاريكا,Kostarika,Costa Rica,Kostaryka,Costa Rica,Costa Rica,קוסטה ריקה
Cote dIvoire,Ivory Coast,Кот-д’Ивуар,Côte d'Ivoire,Elfenbenskysten,Pantai Gading,코트디부아르,Elfenbenskusten,Fildişi Sahili,Кот-д'Івуар,Bờ Biển Ngà,Elefántcsontpart,Elfenbeinküste,Norsunluurannikko,Pobřeží slonoviny,Costa d'Avorio,Elfenbenskysten,科特迪瓦,科特迪瓦,ประเทศโกตดิวัวร์,コートジボワール,Coasta de Fildeș,كوت ديفوار,Pobrežie Slonoviny,Costa de Marfil,Wybrzeże Kości Słoniowej,Ivoorkust,Costa do Marfim,חוף השנהב
Crimea,Crimean Peninsula,Крым,Crimée,Krim,Krimea,크림 반도,Krim,Kırım Yarımadası,Кримський півострів,bán đảo Krym,Krím,Krim,Krim,Krym,Crimea,Krim,克里米亞,克里米亚,คาบสมุทรไครเมีย,クリミア半島,Crimeea,القرم,Krym,península de Crimea,Krym,Krim,Crimeia,חצי האי קרים
Croatia,Croatia,Хорватия,Croatie,Kroatien,Kroasia,크로아티아,Kroatien,Hırvatistan,Хорватія,Croatia,Horvátország,Kroatien,Kroatia,Chorvatsko,Croazia,Kroatia,克羅地亞,克罗地亚,ประเทศโครเอเชีย,クロアチア,Croația,كرواتيا,Chorvátsko,Croacia,Chorwacja,Kroatië,Croácia,קרואטיה
Cuba,Cuba,Куба,Cuba,Cuba,Kuba,쿠바,Kuba,Küba,Куба,Cuba,Kuba,Kuba,Kuuba,Kuba,Cuba,Cuba,古巴,古巴,ประเทศคิวบา,キューバ,Cuba,كوبا,Kuba,Cuba,Kuba,Cuba,Cuba,קובה
Cyprus,Cyprus,Кипр,Chypre,Cypern,Siprus,키프로스,Cypern,Kıbrıs Cumhuriyeti,Кіпр,Cộng hòa Síp,Ciprus,Republik Zypern,Kypros,Kypr,Cipro,Kypros,賽普勒斯,赛普勒斯,ประเทศไซปรัส,キプロス,Cipru,قبرص,Cyprus,Chipre,Cypr,Cyprus,Chipre,קפריסין
Czech Republic,Czech Republic,Чехия,République tchèque,Tjekkiet,Republik Ceko,체코,Tjeckien,Çek Cumhuriyeti,Чехія,Cộng hòa Séc,Csehország,Tschechien,Tšekki,Česko,Repubblica Ceca,Tsjekkia,捷克,捷克,สาธารณรัฐเช็ก,チェコ,Cehia,التشيك,Česko,República Checa,Czechy,Tsjechië,República Checa,צ'כיה
Czech_Jihovychod_Jihomoravsky kraj,South Moravian Region,Южноморавский край,Moravie du Sud,Sydmähren,Wilayah Moravia Selatan,남모라바 주,Södra Mähren,Güney Moravya ili,Південноморавський край,Nam Moravia,Dél-morva kerület,Jihomoravský kraj,Etelä-Määrin lääni,Jihomoravský kraj,Moravia meridionale,Sydmähriske region,南摩拉維亞州,南摩拉维亚州,ภูมิภาคโมราเวียนใต้,南モラヴィア州,Regiunea Moravia de Sud,محافظة مورافيا الجنوبية,Juhomoravský kraj,Región de Moravia Meridional,Kraj południowomorawski,Zuid-Moravië,Morávia do Sul,דרום מוראביה
Czech_Jihovychod_Kraj Vysocina,Vysočina Region,Край Высочина,Région de Vysočina,Vysočina,Daerah Vysočina,비소치나 주,Vysočina,Vysočina Bölgesi,Край Височіна,Vysočina,Vysočina kerület,Kraj Vysočina,Vysočinan alue,Kraj Vysočina,regione di Vysočina,Vysočina region,維索基納州,维索基纳州,ภูมิภาควิซอชินา,ヴィソチナ州,Regiunea Vysočina,إقليم فيسوتشنا,Kraj Vysočina,Región de Vysočina,Kraj Vysočina,Vysočina,Vysočina,הרמה הבוהמית-מוראבית
Czech_Jihozapad_Jihocesky kraj,South Bohemia Region,Южночешский край,Bohême-du-Sud,Sydbøhmen,Daerah Bohemia Selatan,남보헤미아 주,Södra Böhmen,Güney Bohemya ili,Південночеський край,Nam Bohemia,Dél-csehországi kerület,Jihočeský kraj,Etelä-Böömin lääni,Jihočeský kraj,Boemia meridionale,Sydbøhmen region,南波希米亞州,南波希米亚州,ภูมิภาคโบฮีเมียนใต้,南ボヘミア州,Regiunea Boemia de Sud,إقليم جنوب بوهيميا,Juhočeský kraj,Región de Bohemia Meridional,Kraj południowoczeski,Zuid-Bohemen,Boêmia do Sul,דרום בוהמיה
Czech_Jihozapad_Plzensky kraj,Plzeň Region,Пльзенский край,Région de Plzeň,Plzeň,Daerah Plzeň,플젠 주,Plzeň,Plzeň Bölgesi,Пльзенський край,Plzeň,Plzeňi kerület,Plzeňský kraj,Plzeňin lääni,Plzeňský kraj,regione di Plzeň,Plzeň region,比爾森州,比尔森州,ภูมิภาคพัลเซน,プルゼニ州,Regiunea Plzeň,إقليم بلزن,Plzenský kraj,Región de Pilsen,Kraj pilzneński,Pilsen,Plzeň,
Czech_Karlovasky kraj,Karlovy Vary Region,Карловарский край,Région de Karlovy Vary,Karlovy Vary,Daerah Karlovy Vary,카를로비바리 주,Karlovy Vary,Karlovy Vary ili,Карловарський край,Karlovy Vary,Karlovy Vary-i kerület,Karlovarský kraj,Karlovy Varyn lääni,Karlovarský kraj,regione di Karlovy Vary,Karlovy Vary region,卡羅維發利州,卡罗维发利州,ภูมิภาคาร์โลวีแวรี,カルロヴィ・ヴァリ州,Regiunea Karlovy Vary,إقليم كارلوفي فاري,Karlovarský kraj,Región de Karlovy Vary,Kraj karlowarski,Karlsbad,Karlovy Vary,
Czech_Moravskoslezsko,Moravian-Silesian Region,Моравскосилезский край,Région de Moravie-Silésie,Mähren-Schlesien,Daerah Moravia-Silesia,모라바슬레스코 주,Mähren-Schlesien,Moravian-Silesian Bölgesi,Мораво-Сілезький край,Moravia–Silesia,Morva–Sziléziai kerület,Moravskoslezský kraj,Määrin-Sleesian lääni,Moravskoslezský kraj,regione di Moravia-Slesia,Mähren-Schlesien region,摩拉維亞-西里西亞州,摩拉维亚-西里西亚州,ภูมิภาคโมราเวียน-ซิเลเซียน,モラヴィア・スレスコ州,Regiunea Moravia-Silezia,محافظة مورافيا-سيليزيا,Moravsko-sliezsky kraj,Región de Moravia-Silesia,Kraj morawsko-śląski,Moravië-Silezië,Morávia-Silésia,
Czech_Olomoucky kraj,Olomouc Region,Оломоуцкий край,Région d'Olomouc,Olomouc,Daerah Olomouc,올로모우츠 주,Olomouc,Olomouc Bölgesi,Оломоуцький край,Olomouc,Olomouci kerület,Olomoucký kraj,Olomoucin lääni,Olomoucký kraj,regione di Olomouc,Olomouc region,奧洛穆克州,奥洛穆克州,ภูมิภาคโอโลโมก,オロモウツ州,Regiunea Olomouc,إقليم أولوموتس,Olomoucký kraj,Región de Olomouc,Kraj ołomuniecki,Olomouc,Olomouc,
Czech_Praha,Prague,Прага,Prague,Prag,Praha,프라하,Prag,Prag,Прага,Praha,Prága,Prag,Praha,Praha,Praga,Praha,布拉格,布拉格,ปราก,プラハ,Praga,براغ,Praha,Praga,Praga,Praag,Praga,פראג
Czech_Severovychod_Kralovehradecky kraj,Hradec Králové Region,Краловеградецкий край,Région de Hradec Králové,Hradec Králové,Daerah Hradec Kralove,흐라데츠크랄로베 주,Hradec Králové,Hradec Králové ili,Краловоградецький край,Hradec Králové,Hradec Králové-i kerület,Královéhradecký kraj,Hradec Královén lääni,Královéhradecký kraj,regione di Hradec Králové,Hradec Králové,赫拉德茨-克拉洛韋州,赫拉德茨-克拉洛韦州,ภูมิภาคฮราเดก คราโลวี,フラデツ・クラーロヴェー州,Regiunea Hradec Králové,إقليم هرادتس كرالوفه,Královohradecký kraj,Región de Hradec Králové,Kraj hradecki,Hradec Králové,Hradec Králové,
Czech_Severovychod_Liberecky kraj,Liberec Region,Либерецкий край,Région de Liberec,Liberec,Daerah Liberec,리베레츠 주,Liberec,Liberec Bölgesi,Ліберецький край,Liberec,Libereci kerület,Liberecký kraj,Liberecin lääni,Liberecký kraj,regione di Liberec,Liberec,利貝雷茨州,利贝雷茨州,ภูมิภาคลิเบอเรก,リベレツ州,Regiunea Liberec,إقليم ليبيريتس,Liberecký kraj,Región de Liberec,Kraj liberecki,Liberec,Liberec,
Czech_Severovychod_Pardubicky kraj,Pardubice Region,Пардубицкий край,Région de Pardubice,Pardubice,Daerah Pardubice,파르두비체 주,Pardubice,Pardubice Bölgesi,Пардубицький край,Pardubice,Pardubicei kerület,Pardubický kraj,Pardubicen lääni,Pardubický kraj,regione di Pardubice,Pardubice region,帕爾杜比采州,帕尔杜比采州,ภูมิภาคพาร์ดูไบซ์,パルドゥビツェ州,Regiunea Pardubice,إقليم باردوبيتسه,Pardubický kraj,Región de Pardubice,Kraj pardubicki,Pardubice,Pardubice,
Czech_Stredni Cechy_East,Central Bohemian Region — East,Среднечешский край — Восток,Bohême centrale — Est,Centralbøhmen — Øst,Daerah Bohemia Tengah — Timur,중앙보헤미아 주 — 동,Mellersta Böhmen — Öst,Orta Çek Bölgesi — Doğu,Центральночеський край — Схід,Trung Bohemia — Đông,Közép-csehországi kerület — Kelet,Středočeský kraj — Osten,Keski-Böömin lääni — Itä,Středočeský kraj — Východ,Boemia centrale — Est,Sentralbøhmen region — Øst,中波希米亞州 - 東部,中波希米亚州 - 东部,ภูมิภาคโบฮีเมียนกลาง — ตะวันออก,中央ボヘミア州・東武,Regiunea Boemia Centrală — Est,إقليم بوهيميا الوسطى — شرق,Stredočeský kraj — Východ,Bohemia Central — Este,Kraj środkowoczeski — Wschód,Midden-Bohemen — Oost,Boêmia Central — Leste,מחוז מרכז בוהמיה — מִזְרָח
Czech_Stredni Cechy_West,Central Bohemian Region — West,Среднечешский край — Запад,Bohême centrale — Ouest,Centralbøhmen — Vest,Daerah Bohemia Tengah — Barat,중앙보헤미아 주 — 서,Mellersta Böhmen — Väst,Orta Çek Bölgesi — Batı,Центральночеський край — Захід,Trung Bohemia — Tây,Közép-csehországi kerület — Nyugat,Středočeský kraj — Westen,Keski-Böömin lääni — Länsi,Středočeský kraj — Západ,Boemia centrale — Ovest,Sentralbøhmen region — Vest,中波希米亞州 - 西部,中波希米亚州 - 西部,ภูมิภาคโบฮีเมียนกลาง — ตะวันตก,中央ボヘミア州・西部,Regiunea Boemia Centrală — Vest,إقليم بوهيميا الوسطى — غرب,Stredočeský kraj — Západ,Bohemia Central — Oeste,Kraj środkowoczeski — Zachód,Midden-Bohemen — West,Boêmia Central — Oeste,מחוז מרכז בוהמיה — מַעֲרָב
Czech_Ustecky kraj,Ústí nad Labem Region,Устецкий край,Région d'Aussig-sur-Elbe,Ústí nad Labem,Daerah Ústí nad Labem,우스티 주,Ústí nad Labem,Ústí nad Labem Bölgesi,Устецький край,Ústí nad Labem,Ústí nad Labem-i kerület,Ústecký kraj,Ústín lääni,Ústecký kraj,regione di Ústí nad Labem,Ústí nad Labem region,烏斯季州,乌斯季州,ภูมิภาคอูซชิ นาด ลาเบม,ウースチー州,Regiunea Ústí nad Labem,إقليم أوستي ناد لابم,Úsťanský kraj,Región de Ústí nad Labem,Kraj ustecki,Ústí nad Labem,Ústí nad Labem,
Czech_Zlinsky Kraj,Zlín Region,Злинский край,Région de Zlín,Zlín,Daerah Zlín,즐린 주,Zlín,Zlín Bölgesi,Злінський край,Zlín,Zlíni kerület,Zlínský kraj,Zlínin lääni,Zlínský kraj,regione di Zlín,Zlín,茲林州,兹林州,ภูมิภาคซิน,ズリーン州,Regiunea Zlín,إقليم زلين,Zlínsky kraj,Región de Zlín,Kraj zliński,Zlín,Zlín,
Denmark,Denmark,Дания,Danemark,Danmark,Denmark,덴마크,Danmark,Danimarka,Данія,Đan Mạch,Dánia,Dänemark,Tanska,Dánsko,Danimarca,Danmark,丹麥,丹麦,ประเทศเดนมาร์ก,デンマーク,Danemarca,الدنمارك,Dánsko,Dinamarca,Dania,Denemarken,Dinamarca,דנמרק
Denmark_Capital Region of Denmark,Capital Region of Denmark,Столичная область,Hovedstaden,Region Hovedstaden,Region Hovedstaden,덴마크 수도 지역,Region Hovedstaden,Danimarka Başkent Bölgesi,Столичний регіон,Vùng thủ đô Đan Mạch,Hovedstaden régió,Region Hovedstaden,Pääkaupunkialue,Hovedstaden,Hovedstaden,Region Hovedstaden,首都大區,首都大区,ภูมิภาคกลางของเดนมาร์ก,デンマーク首都地域,Regiunea Hovedstaden,محافظة هوودستادن,Hovedstaden,Región Capital,Region Stołeczny,Hoofdstad,Região da Capital,
Denmark_Central Denmark Region,Central Denmark Region,Центральная Ютландия,Jutland-Central,Region Midtjylland,Region Midtjylland,중앙윌란 지역,Region Mittjylland,Merkezi Danimarka Bölgesi,Центральна Ютландія,Trung Jutland,Midtjylland régió,Region Midtjylland,Keski-Jyllanti,Midtjylland,Jutland centrale,Region Midtjylland,中日德蘭大區,中日德兰大区,ภูมิภาคเดนมาร์กกลาง,中央ユラン地域,Regiunea Midtjylland,محافظة ميديولند,Region Midtjylland,Jutlandia Central,Jutlandia Środkowa,Midden-Jutland,Jutlândia Central,
Denmark_North Denmark Region,North Denmark Region,Северная Ютландия,Jutland-du-Nord,Region Nordjylland,Region Nordjylland,북윌란 지역,Region Nordjylland,Kuzey Danimarka Bölgesi,Північна Ютландія,Bắc Jutland,Nordjylland régió,Region Nordjylland,Pohjois-Jyllanti,Nordjylland,Jutland settentrionale,Region Nordjylland,北日德蘭大區,北日德兰大区,ภูมิภาคเดนมาร์กเหนือ,北ユラン地域,Regiunea Nordjylland,مقاطعة نوردلاند,Severné Jutsko (administratívny región),Jutlandia Septentrional,Jutlandia Północna,Noord-Jutland,Jutlândia do Norte,
Denmark_Region Zealand,Region Zealand,Зеландия,Sjælland,Region Sjælland,Region Sjælland,셸란 지역,Region Själland,Zealand Bölgesi,Зеландія,Zealand,Sjælland régió,Region Sjælland,Sjælland,Sjælland,Selandia,Region Sjælland,西蘭大區,西兰大区,ภูมิภาคซีย์แลนด์,シェラン地域,Regiunea Sjælland,محافظة شيلند,Sjælland (región),Región de Selandia,Zelandia,Seeland,Zelândia,
Denmark_Region of Southern Denmark,Region of Southern Denmark,Южная Дания,Danemark-du-Sud,Region Syddanmark,Region Syddanmark,남덴마크 지역,Region Syddanmark,Güney Danimarka Bölgesi,Південна Данія,Nam Đan Mạch,Syddanmark régió,Region Syddanmark,Etelä-Tanska,Syddanmark,Danimarca meridionale,Region Syddanmark,南丹麥大區,南丹麦大区,ภูมิภาคใต้ของเดนมาร์ก,南デンマーク地域,Regiunea Syddanmark,محافظة سيد دنمارك,Južné Dánsko,Dinamarca Meridional,Dania Południowa,Zuid-Denemarken,Dinamarca do Sul,
